Name,Rating,ImageURL,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Wifi
Mora Hotell & Spa,7.6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/25502491.jpg?k=0cdfe83dba14cea8e612ed54081325a91fec3d58ab7c263ef0601228e714ebef&o=,8.3,7.7,8.3,8.3,7.3,9.0,8.5
First Hotel Stockholm North,7.7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/557822651.jpg?k=8f8e517d5f83805041bfd9b83a4bfcfa0dfbdbceee71bb561c7ecf89de2b3172&o=,8.6,7.7,8.3,8.3,8.5,7.8,8.3
Lapland Snow Moose,8.7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/565912689.jpg?k=1b86dc989330c70bd1d3470b2c779a91f8ff97c93b4243c80d8918a7c0339358&o=,9.2,8.6,8.9,8.9,8.4,9.4,8.3
Svaneholm Hotel,7.9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/588833047.jpg?k=883258c7e567364ee3a5e7b4b9288a3034cc2fff7a76598fd41c17c09ec22fd3&o=,8.8,7.7,8.5,8.4,8.8,9.1,9.3
Huskvarna Stadshotell,8.3,https://cf.bstatic.com/xdata/images/hotel/max1024x768/298509961.jpg?k=702c13b74f708fed2a7cab6835ec9bb6ed24ac9bbc25c0b050ec29e2758e8631&o=,9.0,8.3,8.7,8.6,8.2,9.0,8.3
Aurora Camp Kurravaara,8.2,https://cf.bstatic.com/xdata/images/hotel/max1024x768/480730890.jpg?k=46193afe7216928ab5991c919110657fb5228373d5abe7da889377016b5b265b&o=,8.3,7.7,8.1,8.1,7.7,9.1,6.5
Hälsokällans Bed and Breakfast,8.7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/486887925.jpg?k=e80aa1e9fba867c359ea995a38d90a4ad8f9e55504fe582854c54d79527673dd&o=,9.1,8.8,9.4,9.3,9.4,9.1,9.4
Stiftsgården Tallnäs,8.6,https://cf.bstatic.com/xdata/images/hotel/max1024x768/398558197.jpg?k=0fa9e78396e0180d644e9063c2a91742663f5a97e461ffba7af0b26cd2612fb8&o=,9.4,8.4,9.1,9.0,9.1,8.7,9.5
Spirit Bed & Breakfast,8.9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/517140257.jpg?k=91e4ef8ad3cb0ca554c926bb35e2330d68b8584e38706aa5f4a8f1d83985b263&o=,9.3,9.1,9.4,9.3,9.3,8.4,9.3
Lillesjö stuguthyrning,9.0,https://cf.bstatic.com/xdata/images/hotel/max1024x768/302744474.jpg?k=eefaf1e3a5e014b64dad45e07600586d4a8f2c2e0391eac8e95818bcf84c36e5&o=,9.2,9.2,8.7,8.7,9.1,9.7,9.2
Sjötorps Säteris Bed & Breakfast Flygeln,8.5,https://cf.bstatic.com/xdata/images/hotel/max1024x768/366546989.jpg?k=ed580431a6be9cedbfb8206413b834eb624a74c69d018a840d65f73d5bd6cbc0&o=,8.9,8.4,8.5,8.7,9.3,8.6,9.7
